goodsId,goodsSn,productNo,goodsName,goodsImg,shopId,goodsType,marketPrice,shopPrice,warnStock,goodsStock,goodsUnit,goodsTips,isSale,isBest,isHot,isNew,isRecom,goodsCatIdPath,goodsCatId,shopCatId1,shopCatId2,brandId,goodsDesc,goodsStatus,saleNum,saleTime,visitNum,appraiseNum,isSpec,gallery,goodsSeoKeywords,illegalRemarks,dataFlag,createTime,isFreeShipping,goodsSerachKeywords,modifyTime
"115452","6618542","6618542","长虹CFS-TD2015R","https://item.jd.com/6618542.html","105277","0","0.00","259.00","0","0","个",\N,"1","0","0","0","0",\N,"362","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115453","6626906","6626906","KARCHERNT20/1MeClassic","https://item.jd.com/6626906.html","102889","0","0.00","649.00","0","0","个",\N,"1","0","0","0","0",\N,"10304","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115454","6629720","6629720","宏碁墨舞TX520","https://item.jd.com/6629720.html","100093","0","0.00","4599.00","0","0","个",\N,"1","0","0","0","0",\N,"10380","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115455","6644485","6644485","飞亚达DG802002.WWW","https://item.jd.com/6644485.html","100358","0","0.00","539.00","0","0","个",\N,"1","0","0","0","0",\N,"10308","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115456","664556","664556","象印CV-DSH40C","https://item.jd.com/664556.html","100085","0","0.00","2799.00","0","0","个",\N,"1","0","0","0","0",\N,"10369","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115457","6648228","6648228","莱克VC-SPD305","https://item.jd.com/6648228.html","100356","0","0.00","2999.00","0","0","个",\N,"1","0","0","0","0",\N,"10304","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115458","6652293","6652293","安普里奥·阿玛尼AR1749","https://item.jd.com/6652293.html","100322","0","0.00","2850.00","0","0","个",\N,"1","0","0","0","0",\N,"10353","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115459","6663679","6663679","ThinkPadT480","https://item.jd.com/6663679.html","100071","0","0.00","10999.00","0","0","个",\N,"1","0","0","0","0",\N,"10380","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115460","6664693","6664693","鸿星尔克11118203065","https://item.jd.com/6664693.html","100105","0","0.00","209.00","0","0","个",\N,"1","0","0","0","0",\N,"10411","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115461","6683181","6683181","蔓斯菲尔电脑桌","https://item.jd.com/6683181.html","100074","0","0.00","329.00","0","0","个",\N,"1","0","0","0","0",\N,"10372","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115462","6683201","6683201","香可书柜","https://item.jd.com/6683201.html","100195","0","0.00","249.00","0","0","个",\N,"1","0","0","0","0",\N,"10271","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115463","6683223","6683223","蔓斯菲尔鞋柜","https://item.jd.com/6683223.html","100074","0","0.00","329.00","0","0","个",\N,"1","0","0","0","0",\N,"10432","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115464","6685625","6685625","特步984119315185","https://item.jd.com/6685625.html","100213","0","0.00","258.00","0","0","个",\N,"1","0","0","0","0",\N,"10350","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
